Order Priority,Unit Price,Product Sub-Category,Customer,Order Date,Ship Mode,Discount,Row ID,Order ID,Customer Segment,Product Category,Product Container,Product Name,Product Base Margin,Region,State or Province,City,Postal Code,Ship Date,Shipping Cost,Profit,Quantity ordered new,Sales,Product Sub-Category
medium,136.98,Office Furnishings,Gregory Barefoot1098,09-09-2013,Regular Air,0.05,20473,89638,Home Office 763,Furniture,Large Box,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",0.59,East,New Jersey,Edison,8817,09-12-2013,24.49,914.8248,11,1458.58,Office Furnishings
medium,59.76,Storage & Organization,Judy Simpson1099,4/24/2013,Regular Air,0.02,19809,89637,Home Office 763,Office Supplies,Small Box@,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",0.57,East,New Jersey,New Milford,7646,4/25/2013,9.71,52.89,3,178.34,Storage & Organization
medium,15.14,Storage & Organization,Kimberly McCarthy1101,11-05-2010,Regular Air,0.02,22537,91488,Small Business 890,Office Supplies,Small Box@,Eldon� Gobal File Keepers,0.81,West,California,Oxnard,93030,11-06-2010,4.53,5.884,3,51.02,Storage & Organization
critical,10.64,Office Furnishings,Kimberly McCarthy1101,08-04-2013,Regular Air,0.02,25656,91490,Small Business 890,Furniture,Small Box@,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",0.57,West,California,Oxnard,93030,08-05-2013,5.16,-16.5784,20,215.36,Office Furnishings
medium,12.99,Office Furnishings,Kimberly McCarthy1101,11-05-2013,Regular Air,0.01,22536,91491,Small Business 890,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",0.73,West,California,Oxnard,93030,11-05-2013,14.37,46.81296,12,169.13,Office Furnishings
high,6.75,Binders and Binder Accessories,Jeffrey Pearson1102,12-04-2011,Regular Air,0,26201,91489,Small Business 890,Office Supplies,Small Box@,Wilson Jones DublLock� D-Ring Binders,0.35,Central,Missouri,Ozark,65721,12-06-2011,2.99,-0.4715,2,15.78,Binders and Binder Accessories
high,2.08,Office Furnishings,Jeffrey Pearson1102,12-04-2011,Regular Air,0.09,26202,91489,Small Business 890,Furniture,Small Box@,Eldon� Wave Desk Accessories,0.43,Central,Missouri,Ozark,65721,12-06-2011,5.33,-0.71,1,3.67,Office Furnishings
not specified,328.14,Appliances,Sidney Bowling1103,04-10-2010,Delivery Truck,0.05,21847,90977,Home Office 763,Office Supplies,Jumbo Drum$,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",0.57,Central,Nebraska,Omaha,68046,04-11-2010,91.05,772.04,7,2291.39,Appliances
medium,110.98,Chairs & Chairmats,Sidney Bowling1103,04-12-2012,Delivery Truck,0.01,20474,90979,Home Office 763,Furniture,Jumbo Drum$,Office Star Flex Back Scooter Chair with White Frame,0.71,Central,Nebraska,Omaha,68046,4/13/2012,30,-183.26,1,118.47,Chairs & Chairmats
medium,20.99,Telephones and Communication,Sidney Bowling1103,04-12-2012,Regular Air,0.07,20475,90979,Home Office 763,Technology,Small Pack%,Accessory39,0.81,Central,Nebraska,Omaha,68046,4/14/2012,3.3,-133.309,14,237.73,Telephones and Communication
medium,89.99,Chairs & Chairmats,Sidney Bowling1103,4/19/2012,Delivery Truck,0.1,23783,90980,Home Office 763,Furniture,Jumbo Drum$,"Global Leather Task Chair, Black",0.66,Central,Nebraska,Omaha,68046,4/20/2012,42,-281.76,2,177.34,Chairs & Chairmats
medium,3.14,"Scissors, Rulers and Trimmers",Sidney Bowling1103,4/19/2012,Express Air,0.1,23784,90980,Home Office 763,Office Supplies,Wrap/ Bag,Serrated Blade or Curved Handle Hand Letter Openers,0.84,Central,Nebraska,Omaha,68046,4/19/2012,1.92,-33.11,5,15.73,"Scissors, Rulers and Trimmers"
low,65.99,Telephones and Communication,Sidney Bowling1103,3/23/2013,Regular Air,0.04,23469,90981,Home Office 763,Technology,Small Box@,6000,0.55,Central,Nebraska,Omaha,68046,3/27/2013,2.5,19.998,3,168.01,Telephones and Communication
not specified,328.14,Appliances,Timothy Ross1104,04-10-2010,Delivery Truck,0.05,3847,27456,Home Office 763,Office Supplies,Jumbo Drum$,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",0.57,East,New York,New York City,10282,04-11-2010,91.05,772.04,29,9492.92,Appliances
critical,125.99,Telephones and Communication,Timothy Ross1104,5/19/2011,Regular Air,0.04,7926,56646,Home Office 763,Technology,Small Box@,i2000,0.6,East,New York,New York City,10282,5/20/2011,2.5,1059.084,59,6126.32,Telephones and Communication
medium,110.98,Chairs & Chairmats,Timothy Ross1104,04-12-2012,Delivery Truck,0.01,2474,17985,Home Office 763,Furniture,Jumbo Drum$,Office Star Flex Back Scooter Chair with White Frame,0.71,East,New York,New York City,10282,4/13/2012,30,-183.26,4,473.88,Chairs & Chairmats
medium,20.99,Telephones and Communication,Timothy Ross1104,04-12-2012,Regular Air,0.07,2475,17985,Home Office 763,Technology,Small Pack%,Accessory39,0.81,East,New York,New York City,10282,4/14/2012,3.3,-133.309,56,950.91,Telephones and Communication
medium,89.99,Chairs & Chairmats,Timothy Ross1104,4/19/2012,Delivery Truck,0.1,5783,41026,Home Office 763,Furniture,Jumbo Drum$,"Global Leather Task Chair, Black",0.66,East,New York,New York City,10282,4/20/2012,42,-281.76,9,798.04,Chairs & Chairmats
medium,3.14,"Scissors, Rulers and Trimmers",Timothy Ross1104,4/19/2012,Express Air,0.1,5784,41026,Home Office 763,Office Supplies,Wrap/ Bag,Serrated Blade or Curved Handle Hand Letter Openers,0.84,East,New York,New York City,10282,4/19/2012,1.92,-33.11,21,66.05,"Scissors, Rulers and Trimmers"
low,65.99,Telephones and Communication,Timothy Ross1104,3/23/2013,Regular Air,0.04,5469,38853,Home Office 763,Technology,Small Box@,6000,0.55,East,New York,New York City,10282,3/27/2013,2.5,19.998,13,728.03,Telephones and Communication
high,213.45,Office Machines,Timothy Ross1104,5/18/2013,Delivery Truck,0.03,7576,54181,Home Office 763,Technology,Jumbo Drum$,Panasonic KX-P2130 Dot Matrix Printer,0.59,East,New York,New York City,10282,5/20/2013,14.7,67.36,16,3478.39,Office Machines
high,4.95,Office Furnishings,Timothy Ross1104,10/29/2013,Regular Air,0.09,6738,47971,Home Office 763,Furniture,Small Box@,"Eldon� 300 Class� Desk Accessories, Black",0.41,East,New York,New York City,10282,10/30/2013,5.32,-53.06,50,236.31,Office Furnishings
medium,64.65,Storage & Organization,Timothy Ross1104,11/19/2013,Regular Air,0.02,6320,44737,Home Office 763,Office Supplies,Large Box,Space Solutions Commercial Steel Shelving,0.8,East,New York,New York City,10282,11/20/2013,35,-309.48,40,2813.6,Storage & Organization
medium,20.99,Telephones and Communication,Timothy Ross1104,11/19/2013,Regular Air,0.02,6321,44737,Home Office 763,Technology,Wrap/ Bag,Accessory25,0.57,East,New York,New York City,10282,11/21/2013,0.99,38.907,58,1095.23,Telephones and Communication
critical,125.99,Telephones and Communication,Janet Bryant1105,5/19/2011,Regular Air,0.04,25926,90978,Home Office 763,Technology,Small Box@,i2000,0.6,East,Pennsylvania,Easton,18040,5/20/2011,2.5,1059.084,15,1557.54,Telephones and Communication
high,213.45,Office Machines,Janet Bryant1105,5/18/2013,Delivery Truck,0.03,25576,90982,Home Office 763,Technology,Jumbo Drum$,Panasonic KX-P2130 Dot Matrix Printer,0.59,East,Pennsylvania,Easton,18040,5/20/2013,14.7,67.36,4,869.6,Office Machines
high,4.95,Office Furnishings,Janet Bryant1105,10/29/2013,Regular Air,0.09,24738,90983,Home Office 763,Furniture,Small Box@,"Eldon� 300 Class� Desk Accessories, Black",0.41,East,Pennsylvania,Easton,18040,10/30/2013,5.32,-53.06,13,61.44,Office Furnishings
medium,64.65,Storage & Organization,Janet Bryant1105,11/19/2013,Regular Air,0.02,24320,90984,Home Office 763,Office Supplies,Large Box,Space Solutions Commercial Steel Shelving,0.8,East,Pennsylvania,Easton,18040,11/20/2013,35,143.59872,10,703.4,Storage & Organization
medium,20.99,Telephones and Communication,Janet Bryant1105,11/19/2013,Regular Air,0.02,24321,90984,Home Office 763,Technology,Wrap/ Bag,Accessory25,0.57,East,Pennsylvania,Easton,18040,11/21/2013,0.99,95.866848,14,264.37,Telephones and Communication
medium,6.35,Paper,Maxine Collier Grady1106,5/20/2010,Regular Air,0.04,2808,20261,Small Business 890,Office Supplies,Wrap/ Bag,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",0.39,Central,Texas,Dallas,75220,5/23/2010,1.02,81.91,52,318.47,Paper
high,9.31,"Scissors, Rulers and Trimmers",Maxine Collier Grady1106,11/21/2010,Regular Air,0.01,106,646,Small Business 890,Office Supplies,Small Pack%,Acme� Forged Steel Scissors with Black Enamel Handles,0.56,Central,Texas,Dallas,75220,11/22/2010,3.98,-10.9,61,586.96,"Scissors, Rulers and Trimmers"
not specified,140.81,Chairs & Chairmats,Maxine Collier Grady1106,12-06-2010,Regular Air,0.08,6443,45824,Consumer 096,Furniture,Large Box,Hon Olson Stacker Stools,0.57,Central,Texas,Dallas,75220,12-08-2010,24.49,1232.79,81,11272.77,Chairs & Chairmats
low,7.37,Computer Peripherals,Maxine Collier Grady1106,9/29/2011,Express Air,0,4817,34244,Consumer 096,Technology,Small Pack%,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",0.69,Central,Texas,Dallas,75220,10-08-2011,5.53,-89.56,46,377.75,Computer Peripherals
low,31.78,Computer Peripherals,Maxine Collier Grady1106,9/29/2011,Regular Air,0.04,4818,34244,Consumer 096,Technology,Small Pack%,"Memorex 4.7GB DVD-RAM, 3/Pack",0.42,Central,Texas,Dallas,75220,10-01-2011,1.99,-62.77,7,219.98,Computer Peripherals
low,3.75,Labels,Maxine Collier Grady1106,10/18/2011,Regular Air,0.06,4396,31301,Consumer 096,Office Supplies,Small Box@,Avery 510,0.37,Central,Texas,Dallas,75220,10/20/2011,0.5,35.016,56,198.31,Labels
critical,5.34,Binders and Binder Accessories,Maxine Collier Grady1106,06-11-2012,Regular Air,0.03,3435,24519,Consumer 096,Office Supplies,Small Box@,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",0.39,Central,Texas,Dallas,75220,06-12-2012,5.63,-60.72,36,208.73,Binders and Binder Accessories
critical,5.98,Paper,Maxine Collier Grady1106,8/28/2012,Regular Air,0.06,7659,54914,Small Business 890,Office Supplies,Small Box@,Xerox 1983,0.36,Central,Texas,Dallas,75220,8/29/2012,5.46,-57.64,63,389.67,Paper
critical,12.44,Storage & Organization,Maxine Collier Grady1106,8/28/2012,Regular Air,0.06,7660,54914,Small Business 890,Office Supplies,Medium Box,Eldon Simplefile� Box Office�,0.57,Central,Texas,Dallas,75220,8/30/2012,6.27,-27.83,14,181.16,Storage & Organization
not specified,6.48,Paper,Maxine Collier Grady1106,10-07-2012,Regular Air,0.02,132,835,Small Business 890,Office Supplies,Small Box@,Xerox 23,0.37,Central,Texas,Dallas,75220,10-08-2012,5.14,-28.176,35,243.37,Paper
high,216.6,Chairs & Chairmats,Maxine Collier Grady1106,12-10-2012,Delivery Truck,0,4666,33219,Consumer 096,Furniture,Jumbo Drum$,Hon Multipurpose Stacking Arm Chairs,0.59,Central,Texas,Dallas,75220,12-11-2012,64.2,764.95,64,14683.92,Chairs & Chairmats
critical,34.99,Pens & Art Supplies,Maxine Collier Grady1106,3/22/2013,Regular Air,0.02,4181,29671,Consumer 096,Office Supplies,Small Box@,Hunt Boston� Vacuum Mount KS Pencil Sharpener,0.59,Central,Texas,Dallas,75220,3/23/2013,7.73,221.63,43,1511.7,Pens & Art Supplies
medium,31.74,Binders and Binder Accessories,Maxine Collier Grady1106,5/20/2013,Express Air,0.09,2807,20261,Small Business 890,Office Supplies,Small Box@,GBC Wire Binding Strips,0.37,Central,Texas,Dallas,75220,5/20/2013,12.62,67.1075,33,992.01,Binders and Binder Accessories
medium,65.99,Telephones and Communication,Maxine Collier Grady1106,5/20/2013,Express Air,0.02,2809,20261,Small Business 890,Technology,Small Box@,Talkabout T8367,0.56,Central,Texas,Dallas,75220,5/21/2013,8.99,168.237,27,1619.3,Telephones and Communication
not specified,20.34,Storage & Organization,Maxine Collier Grady1106,6/15/2013,Regular Air,0.07,1862,13383,Consumer 096,Office Supplies,Large Box,Tennsco Commercial Shelving,0.84,Central,Texas,Dallas,75220,6/17/2013,35,-1072.97,53,1135.76,Storage & Organization
medium,8.37,Office Furnishings,Maxine Collier Grady1106,6/29/2013,Regular Air,0.08,4480,31877,Consumer 096,Furniture,Large Box,Westinghouse Clip-On Gooseneck Lamps,0.59,Central,Texas,Dallas,75220,6/29/2013,10.16,-211.54,51,427.59,Office Furnishings
high,10.35,Labels,Maxine Collier Grady1106,10/19/2013,Regular Air,0.08,4697,33477,Small Business 890,Office Supplies,Small Box@,Avery 503,0.37,Central,Texas,Dallas,75220,10/21/2013,0.99,113.63,59,567.41,Labels
high,9.31,"Scissors, Rulers and Trimmers",Joanna Keith1107,11/21/2010,Regular Air,0.01,18106,86411,Small Business 890,Office Supplies,Small Pack%,Acme� Forged Steel Scissors with Black Enamel Handles,0.56,Central,Texas,Lake Jackson,77566,11/22/2010,3.98,2.18,15,144.33,"Scissors, Rulers and Trimmers"
medium,31.74,Binders and Binder Accessories,Dwight Bishop1108,5/20/2010,Express Air,0.09,20807,86409,Small Business 890,Office Supplies,Small Box@,GBC Wire Binding Strips,0.37,Central,Texas,Lancaster,75146,5/20/2010,12.62,67.1075,9,270.55,Binders and Binder Accessories
medium,6.35,Paper,Dwight Bishop1108,5/20/2010,Regular Air,0.04,20808,86409,Small Business 890,Office Supplies,Wrap/ Bag,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",0.39,Central,Texas,Lancaster,75146,5/23/2010,1.02,54.9378,13,79.62,Paper
medium,65.99,Telephones and Communication,Dwight Bishop1108,5/20/2010,Express Air,0.02,20809,86409,Small Business 890,Technology,Small Box@,Talkabout T8367,0.56,Central,Texas,Lancaster,75146,5/21/2010,8.99,168.237,8,479.79,Telephones and Communication
critical,34.99,Pens & Art Supplies,Dwight Bishop1108,3/22/2011,Regular Air,0.02,22181,86412,Consumer 096,Office Supplies,Small Box@,Hunt Boston� Vacuum Mount KS Pencil Sharpener,0.59,Central,Texas,Lancaster,75146,3/23/2011,7.73,221.63,11,386.71,Pens & Art Supplies
low,3.75,Labels,Dwight Bishop1108,10/18/2011,Regular Air,0.06,22396,86414,Consumer 096,Office Supplies,Small Box@,Avery 510,0.37,Central,Texas,Lancaster,75146,10/20/2011,0.5,34.2102,14,49.58,Labels
critical,5.34,Binders and Binder Accessories,Dwight Bishop1108,06-11-2012,Regular Air,0.03,21435,86415,Consumer 096,Office Supplies,Small Box@,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",0.39,Central,Texas,Lancaster,75146,06-12-2012,5.63,-48.576,9,52.18,Binders and Binder Accessories
not specified,6.48,Paper,Dwight Bishop1108,10-07-2012,Regular Air,0.02,18132,86417,Small Business 890,Office Supplies,Small Box@,Xerox 23,0.37,Central,Texas,Lancaster,75146,10-08-2012,5.14,-25.3584,9,62.58,Paper
not specified,20.34,Storage & Organization,Dwight Bishop1108,6/15/2013,Regular Air,0.07,19862,86419,Consumer 096,Office Supplies,Large Box,Tennsco Commercial Shelving,0.84,Central,Texas,Lancaster,75146,6/17/2013,35,-858.376,13,278.58,Storage & Organization
medium,8.37,Office Furnishings,Dennis Welch1109,6/29/2010,Regular Air,0.08,22480,86410,Consumer 096,Furniture,Large Box,Westinghouse Clip-On Gooseneck Lamps,0.59,Central,Texas,Laredo,78041,6/29/2010,10.16,-169.232,13,108.99,Office Furnishings
low,7.37,Computer Peripherals,Dennis Welch1109,9/29/2011,Express Air,0,22817,86413,Consumer 096,Technology,Small Pack%,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",0.69,Central,Texas,Laredo,78041,10-08-2011,5.53,-89.56,11,90.33,Computer Peripherals
low,31.78,Computer Peripherals,Dennis Welch1109,9/29/2011,Regular Air,0.04,22818,86413,Consumer 096,Technology,Small Pack%,"Memorex 4.7GB DVD-RAM, 3/Pack",0.42,Central,Texas,Laredo,78041,10-01-2011,1.99,-62.77,2,62.85,Computer Peripherals
critical,5.98,Paper,Dennis Welch1109,8/28/2012,Regular Air,0.06,25659,86416,Small Business 890,Office Supplies,Small Box@,Xerox 1983,0.36,Central,Texas,Laredo,78041,8/29/2012,5.46,-29.9728,16,98.97,Paper
high,216.6,Chairs & Chairmats,Dennis Welch1109,12-10-2012,Delivery Truck,0,22666,86418,Consumer 096,Furniture,Jumbo Drum$,Hon Multipurpose Stacking Arm Chairs,0.59,Central,Texas,Laredo,78041,12-11-2012,64.2,1147.425,16,3670.98,Chairs & Chairmats
high,10.35,Labels,Dennis Welch1109,10/19/2013,Regular Air,0.08,22697,86420,Small Business 890,Office Supplies,Small Box@,Avery 503,0.37,Central,Texas,Laredo,78041,10/21/2013,0.99,99.5394,15,144.26,Labels
not specified,140.81,Chairs & Chairmats,Dennis Welch1109,12-06-2013,Regular Air,0.08,24443,86421,Consumer 096,Furniture,Large Box,Hon Olson Stacker Stools,0.57,Central,Texas,Laredo,78041,12-08-2013,24.49,2051.36256,22,3061.74,Chairs & Chairmats
critical,12.44,Storage & Organization,Kevin Roth1110,8/28/2012,Regular Air,0.06,25660,86416,Small Business 890,Office Supplies,Medium Box,Eldon Simplefile� Box Office�,0.57,Central,Texas,League City,77573,8/30/2012,6.27,-14.4716,3,38.82,Storage & Organization
not specified,300.98,Bookcases,Luis Kerr1112,10-02-2010,Delivery Truck,0.03,20176,90832,Corporate 654,Furniture,*Jumbo Box,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0.55,West,California,Yucaipa,92399,10-04-2010,54.92,1272.5808,12,3527.82,Bookcases
not specified,2550.14,Office Machines,Luis Kerr1112,10-02-2010,Delivery Truck,0.02,20177,90832,Corporate 654,Technology,Jumbo Drum$,Epson DFX-8500 Dot Matrix Printer,0.57,West,California,Yucaipa,92399,10-04-2010,29.7,-5390.738892,2,4698.21,Office Machines
critical,2.89,Labels,Julia Reynolds1113,10-06-2010,Regular Air,0.01,26060,90833,Corporate 654,Office Supplies,Small Box@,Avery 498,0.38,West,Colorado,Arvada,80004,10-07-2010,0.5,29.7252,14,43.08,Labels
critical,55.99,Telephones and Communication,Julia Reynolds1113,10-06-2010,Regular Air,0,26061,90833,Corporate 654,Technology,Small Pack%,Accessory6,0.8,West,Colorado,Arvada,80004,10-08-2010,5,-187.11,5,258.93,Telephones and Communication
critical,6.48,Paper,Julia Reynolds1113,8/23/2012,Express Air,0,25455,90834,Corporate 654,Office Supplies,Small Box@,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",0.37,West,Colorado,Arvada,80004,8/23/2012,5.94,-21.0912,14,103.4,Paper
high,6.48,Paper,Julia Reynolds1113,02-12-2013,Regular Air,0.04,23447,90835,Corporate 654,Office Supplies,Small Box@,Xerox 21,0.37,West,Colorado,Arvada,80004,2/13/2013,6.6,-118.74,12,81.53,Paper
high,35.99,Telephones and Communication,Julia Reynolds1113,02-12-2013,Regular Air,0.09,23448,90835,Corporate 654,Technology,Small Pack%,Accessory31,0.35,West,Colorado,Arvada,80004,2/15/2013,0.99,-67.133,2,56.79,Telephones and Communication
low,55.5,Office Furnishings,Julia Reynolds1113,12-05-2013,Regular Air,0.06,21319,90836,Corporate 654,Furniture,Medium Box,Eldon Cleatmat� Chair Mats for Medium Pile Carpets,0.72,West,Colorado,Arvada,80004,12-05-2013,52.2,-93.78432,6,357.9,Office Furnishings
low,227.55,Tables,Julia Reynolds1113,12-05-2013,Delivery Truck,0,21320,90836,Corporate 654,Furniture,*Jumbo Box,Hon Rectangular Conference Tables,0.68,West,Colorado,Arvada,80004,12-09-2013,32.48,2807.28448,24,5587.01,Tables
medium,4.98,Paper,Jill Foster1115,8/21/2012,Regular Air,0.07,18173,86775,Consumer 096,Office Supplies,Small Box@,Xerox 1949,0.36,West,Arizona,Surprise,85374,8/23/2012,4.72,-26.0728,14,71.09,Paper
critical,42.76,Storage & Organization,Jill Foster1115,8/20/2013,Regular Air,0.08,18600,86786,Consumer 096,Office Supplies,Small Box@,"SAFCO Mobile Desk Side File, Wire Frame",,West,Arizona,Surprise,85374,8/21/2013,6.22,449.41216,21,845.76,Storage & Organization
not specified,7.98,Storage & Organization,Meredith Bland1116,2/18/2013,Regular Air,0.09,19726,86781,Home Office 763,Office Supplies,Medium Box,Iris Project Case,0.59,West,Arizona,Tempe,85281,2/20/2013,6.5,-142.86,10,78.69,Storage & Organization
high,4.48,Appliances,Meredith Bland1116,07-08-2013,Regular Air,0.04,19944,86785,Home Office 763,Office Supplies,Large Box,Hoover Portapower� Portable Vacuum,0.6,West,Arizona,Tempe,85281,07-10-2013,49,-1637.71488,14,79.01,Appliances
high,22.84,Paper,Meredith Bland1116,07-08-2013,Regular Air,0,19945,86785,Home Office 763,Office Supplies,Small Box@,Xerox 1964,0.39,West,Arizona,Tempe,85281,07-09-2013,11.54,187.81056,17,423.35,Paper
high,225.02,Storage & Organization,Meredith Bland1116,07-08-2013,Delivery Truck,0.04,19946,86785,Home Office 763,Office Supplies,Jumbo Drum$,Tennsco Double-Tier Lockers,0.72,West,Arizona,Tempe,85281,07-10-2013,28.66,603.3504,9,2050.93,Storage & Organization
critical,9.78,Envelopes,Meredith Bland1116,8/20/2013,Regular Air,0.04,18601,86786,Consumer 096,Office Supplies,Small Box@,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",0.35,West,Arizona,Tempe,85281,8/23/2013,5.76,-2.89592,6,61.47,Envelopes
critical,9.48,Office Furnishings,Meredith Bland1116,8/20/2013,Regular Air,0,18602,86786,Consumer 096,Furniture,Small Pack%,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45,West,Arizona,Tempe,85281,8/21/2013,7.29,-7.34368,2,23.93,Office Furnishings
critical,110.99,Telephones and Communication,Meredith Bland1116,8/20/2013,Regular Air,0.05,18603,86786,Consumer 096,Technology,Small Box@,LX 677,0.57,West,Arizona,Tempe,85281,8/22/2013,8.99,1236.362544,20,1850.18,Telephones and Communication
not specified,64.65,Storage & Organization,Samantha Koch1117,08-05-2010,Regular Air,0.06,21579,86768,Home Office 763,Office Supplies,Large Box,Space Solutions Commercial Steel Shelving,0.8,West,Arizona,Tucson,85705,08-06-2010,35,-139.2872,4,277.6,Storage & Organization
low,83.1,Computer Peripherals,Samantha Koch1117,06-08-2011,Regular Air,0.03,21921,86769,Home Office 763,Technology,Small Box@,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",0.45,West,Arizona,Tucson,85705,06-12-2011,6.13,10.32,3,244.24,Computer Peripherals
high,65.99,Telephones and Communication,Samantha Koch1117,09-04-2011,Regular Air,0.03,21631,86770,Home Office 763,Technology,Small Box@,i270,0.55,West,Arizona,Tucson,85705,09-05-2011,8.99,697.824,23,1317.49,Telephones and Communication
not specified,125.99,Telephones and Communication,Samantha Koch1117,11/13/2011,Regular Air,0.07,23520,86773,Home Office 763,Technology,Small Box@,M3682,0.57,West,Arizona,Tucson,85705,11/13/2011,8.08,81.6508,5,522.88,Telephones and Communication
medium,36.55,Pens & Art Supplies,Samantha Koch1117,12/31/2012,Regular Air,0.01,23279,86779,Home Office 763,Office Supplies,Wrap/ Bag,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",0.41,West,Arizona,Tucson,85705,01-01-2013,13.89,-2.25,3,120.93,Pens & Art Supplies
low,130.98,Bookcases,Samantha Koch1117,06-08-2013,Delivery Truck,0.04,21920,86784,Home Office 763,Furniture,*Jumbo Box,"O'Sullivan Elevations Bookcase, Cherry Finish",0.69,West,Arizona,Tucson,85705,6/15/2013,54.74,-659.272,16,2112.7,Bookcases
low,20.98,Storage & Organization,Samantha Koch1117,06-08-2013,Delivery Truck,0.1,21922,86784,Home Office 763,Office Supplies,Jumbo Drum$,"Tennsco Lockers, Gray",0.78,West,Arizona,Tucson,85705,6/13/2013,53.03,-1226.52,12,257.8,Storage & Organization
not specified,58.14,Bookcases,Jesse Williams Katz1118,11/13/2011,Delivery Truck,0.01,23521,86773,Home Office 763,Furniture,*Jumbo Box,O'Sullivan 3-Shelf Heavy-Duty Bookcases,0.61,West,Arizona,Yuma,85364,11/15/2011,36.61,143.834,43,2580.76,Bookcases
not specified,209.84,Office Furnishings,Jesse Williams Katz1118,11/13/2011,Regular Air,0.09,23522,86773,Home Office 763,Furniture,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,0.59,West,Arizona,Yuma,85364,11/15/2011,21.21,3540.7626,26,5131.54,Office Furnishings
critical,574.74,Office Machines,Jesse Williams Katz1118,11-07-2012,Regular Air,0.05,24136,86777,Consumer 096,Technology,Large Box,Polycom ViaVideo� Desktop Video Communications Unit,0.37,West,Arizona,Yuma,85364,11-08-2012,24.49,8118.8919,22,11766.51,Office Machines
critical,31.78,Computer Peripherals,Jesse Williams Katz1118,2/18/2013,Regular Air,0.01,23937,86781,Home Office 763,Technology,Small Pack%,"Memorex 4.7GB DVD-RAM, 3/Pack",0.42,West,Arizona,Yuma,85364,2/18/2013,1.99,110.7174,5,160.46,Computer Peripherals
critical,28.28,Storage & Organization,Jesse Williams Katz1118,2/18/2013,Regular Air,0.02,23938,86781,Home Office 763,Office Supplies,Medium Box,Eldon Portable Mobile Manager,0.58,West,Arizona,Yuma,85364,2/19/2013,13.99,-93.46,5,142.25,Storage & Organization
not specified,122.99,Chairs & Chairmats,Cecil Berger1119,2/14/2012,Delivery Truck,0,25799,86774,Home Office 763,Furniture,Jumbo Drum$,"Global High-Back Leather Tilter, Burgundy",0.74,South,Arkansas,Bella Vista,72714,2/16/2012,70.2,174.396,2,276.76,Chairs & Chairmats
not specified,20.99,Telephones and Communication,Cecil Berger1119,2/14/2012,Regular Air,0.03,25800,86774,Home Office 763,Technology,Medium Box,1726 Digital Answering Machine,0.58,South,Arkansas,Bella Vista,72714,2/16/2012,4.81,-79.114,13,241.91,Telephones and Communication
medium,6.48,Paper,Cecil Berger1119,8/30/2012,Express Air,0.03,24973,86776,Consumer 096,Office Supplies,Small Box@,Xerox 21,0.37,South,Arkansas,Bella Vista,72714,8/31/2012,6.6,-31.584,19,132.7,Paper
critical,31.76,Tables,Cecil Berger1119,12/16/2012,Delivery Truck,0.07,24618,86778,Home Office 763,Furniture,*Jumbo Box,Hon iLevel� Computer Training Table,0.65,South,Arkansas,Bella Vista,72714,12/18/2012,45.51,-61.418,17,534.93,Tables
low,2.98,Pens & Art Supplies,Cecil Berger1119,04-11-2013,Regular Air,0,24884,86782,Home Office 763,Office Supplies,Wrap/ Bag,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",0.57,South,Arkansas,Bella Vista,72714,4/18/2013,2.03,-225.694,8,25.05,Pens & Art Supplies
high,39.99,Computer Peripherals,Cecil Berger1119,4/14/2013,Express Air,0.02,25854,86783,Home Office 763,Technology,Small Box@,Zoom V.92 V.44 PCI Internal Controllerless FaxModem,0.55,South,Arkansas,Bella Vista,72714,4/16/2013,10.25,4460.688,10,395.85,Computer Peripherals
high,14.56,Appliances,Rita Vaughn1120,9/26/2011,Regular Air,0.02,26050,86771,Home Office 763,Office Supplies,Small Box@,Acco 6 Outlet Guardian Premium Surge Suppressor,0.58,South,Arkansas,Benton,72015,9/28/2011,3.5,-34.818,23,342.92,Appliances
high,85.99,Telephones and Communication,Rita Vaughn1120,9/26/2011,Regular Air,0.08,26051,86771,Home Office 763,Technology,Small Box@,Accessory12,0.35,South,Arkansas,Benton,72015,9/27/2011,2.5,-559.538,20,1371.78,Telephones and Communication
